positions,Goalkeeper
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Attacking Midfield,1
Defensive Midfield,0
Central Midfield,0
midfield,0
Centre-Back,0
Right Winger,0
Central Midfield,0
Goalkeeper,1
Left Winger,0
Centre-Forward,0
Left Winger,0
Centre-Back,0
Right Midfield,0
Central Midfield,0
Centre-Back,0
Defensive Midfield,0
Right Winger,0
Centre-Forward,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Goalkeeper,1
Centre-Back,0
Centre-Forward,0
Attacking Midfield,1
Centre-Back,0
Left-Back,0
midfield,0
Left-Back,0
Centre-Back,0
Goalkeeper,1
Defensive Midfield,0
Central Midfield,0
Centre-Back,0
Right-Back,0
Right Winger,0
Centre-Forward,0
Left-Back,0
Right Winger,0
Goalkeeper,1
Left-Back,0
midfield,0
Left Winger,0
Centre-Forward,0
Defensive Midfield,0
Centre-Back,0
Left Winger,0
Right Winger,0
Goalkeeper,1
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Goalkeeper,1
Centre-Back,0
Centre-Forward,0
Goalkeeper,1
Centre-Forward,0
Right Winger,0
Left-Back,0
Goalkeeper,1
Centre-Back,0
Left-Back,0
Central Midfield,0
Left Winger,0
Right Winger,0
Attacking Midfield,1
Central Midfield,0
Centre-Back,0
Centre-Forward,0
Central Midfield,0
Defensive Midfield,0
Centre-Back,0
Left Winger,0
Attacking Midfield,1
Centre-Forward,0
Centre-Back,0
Defensive Midfield,0
Centre-Back,0
Defensive Midfield,0
Right Winger,0
Defensive Midfield,0
Defensive Midfield,0
Centre-Forward,0
Centre-Forward,0
Right Winger,0
Left-Back,0
Right-Back,0
Centre-Back,0
Left-Back,0
Right-Back,0
Left-Back,0
Defensive Midfield,0
Central Midfield,0
Attacking Midfield,1
Central Midfield,0
Left Winger,0
Central Midfield,0
Central Midfield,0
Central Midfield,0
Centre-Forward,0
Central Midfield,0
Goalkeeper,1
Left-Back,0
Right-Back,0
Centre-Back,0
Central Midfield,0
Centre-Back,0
Centre-Back,0
Right-Back,0
Central Midfield,0
Left-Back,0
Defensive Midfield,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Central Midfield,0
Right-Back,0
Central Midfield,0
Centre-Back,0
Centre-Forward,0
Right-Back,0
Centre-Forward,0
Right-Back,0
Centre-Forward,0
Left Winger,0
Centre-Back,0
midfield,0
Centre-Forward,0
Defensive Midfield,0
Defensive Midfield,0
Defensive Midfield,0
Defensive Midfield,0
Left-Back,0
Right-Back,0
Centre-Forward,0
Centre-Back,0
Defensive Midfield,0
Attacking Midfield,1
Left Winger,0
Right Midfield,0
Defensive Midfield,0
Central Midfield,0
Goalkeeper,1
Central Midfield,0
Centre-Back,0
Defensive Midfield,0
Defensive Midfield,0
Central Midfield,0
Goalkeeper,1
Central Midfield,0
Goalkeeper,1
Right Winger,0
Goalkeeper,1
Right-Back,0
Centre-Forward,0
Centre-Forward,0
Right Winger,0
Goalkeeper,1
Defensive Midfield,0
Central Midfield,0
Centre-Forward,0
Defensive Midfield,0
Central Midfield,0
Defensive Midfield,0
midfield,0
Goalkeeper,1
Right Midfield,0
Goalkeeper,1
Attacking Midfield,1
Central Midfield,0
Second Striker,0
Left-Back,0
Goalkeeper,1
Central Midfield,0
Goalkeeper,1
midfield,0
Centre-Back,0
Central Midfield,0
Attacking Midfield,1
Goalkeeper,1
Left-Back,0
Centre-Forward,0
Left-Back,0
midfield,0
defence,0
defence,0
attack,0
attack,0
defence,0
Left-Back,0
midfield,0
Centre-Forward,0
Right Winger,0
Right-Back,0
Right Winger,0
Right Midfield,0
Centre-Back,0
Centre-Back,0
Central Midfield,0
Defensive Midfield,0
Central Midfield,0
Left-Back,0
Centre-Back,0
Right-Back,0
Left-Back,0
Goalkeeper,1
Right Winger,0
Defensive Midfield,0
Left-Back,0
Right Winger,0
Centre-Back,0
Central Midfield,0
Central Midfield,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Left Winger,0
Centre-Back,0
Right-Back,0
Central Midfield,0
Attacking Midfield,1
Centre-Forward,0
Goalkeeper,1
Left-Back,0
Defensive Midfield,0
Goalkeeper,1
Left-Back,0
Centre-Forward,0
Centre-Forward,0
Defensive Midfield,0
Right Winger,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Right-Back,0
attack,0
Centre-Forward,0
Attacking Midfield,1
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Left-Back,0
Central Midfield,0
Goalkeeper,1
Centre-Back,0
Centre-Back,0
Right Midfield,0
Goalkeeper,1
Right-Back,0
Attacking Midfield,1
Goalkeeper,1
Goalkeeper,1
Centre-Forward,0
Centre-Back,0
Right Winger,0
Centre-Back,0
Left-Back,0
Centre-Forward,0
Right Winger,0
Defensive Midfield,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Central Midfield,0
Left Winger,0
Goalkeeper,1
Left-Back,0
Centre-Forward,0
Centre-Forward,0
Centre-Forward,0
Goalkeeper,1
Left-Back,0
Centre-Forward,0
Right Winger,0
Centre-Back,0
Central Midfield,0
Centre-Forward,0
Right-Back,0
Right-Back,0
Goalkeeper,1
Attacking Midfield,1
Defensive Midfield,0
Central Midfield,0
Right Midfield,0
Centre-Forward,0
Goalkeeper,1
Centre-Back,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Attacking Midfield,1
Central Midfield,0
Central Midfield,0
Centre-Forward,0
Centre-Back,0
Left-Back,0
Central Midfield,0
Centre-Back,0
Centre-Back,0
Defensive Midfield,0
Defensive Midfield,0
Defensive Midfield,0
Defensive Midfield,0
Defensive Midfield,0
Left Winger,0
Left-Back,0
Centre-Back,0
Attacking Midfield,1
Attacking Midfield,1
Centre-Back,0
Centre-Back,0
Right Winger,0
Left Winger,0
Central Midfield,0
Right-Back,0
Attacking Midfield,1
Centre-Back,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Left Winger,0
Right Winger,0
Goalkeeper,1
Left Winger,0
Centre-Back,0
Left-Back,0
Left-Back,0
Left Winger,0
midfield,0
Right Winger,0
Centre-Forward,0
Right Winger,0
Centre-Forward,0
Goalkeeper,1
Central Midfield,0
Left Winger,0
Left-Back,0
Goalkeeper,1
Centre-Forward,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Goalkeeper,1
Right Winger,0
Goalkeeper,1
Right Winger,0
Left-Back,0
Right-Back,0
Centre-Forward,0
Centre-Back,0
Central Midfield,0
Right Winger,0
Left-Back,0
Right Midfield,0
Right-Back,0
Goalkeeper,1
Central Midfield,0
Left Midfield,0
Attacking Midfield,1
Centre-Forward,0
Centre-Forward,0
Right Winger,0
Centre-Back,0
Defensive Midfield,0
Central Midfield,0
Centre-Forward,0
Left-Back,0
Central Midfield,0
Left-Back,0
Centre-Back,0
Central Midfield,0
Defensive Midfield,0
midfield,0
Right-Back,0
Centre-Forward,0
Right-Back,0
Left Winger,0
Left-Back,0
Defensive Midfield,0
Centre-Back,0
Second Striker,0
Left Winger,0
Attacking Midfield,1
Centre-Forward,0
Attacking Midfield,1
Left-Back,0
Left Midfield,0
Centre-Back,0
Centre-Forward,0
Central Midfield,0
Central Midfield,0
Centre-Forward,0
Central Midfield,0
Centre-Forward,0
Centre-Forward,0
Right-Back,0
Central Midfield,0
Centre-Forward,0
Right Winger,0
Centre-Forward,0
Left Winger,0
Right-Back,0
Central Midfield,0
Centre-Forward,0
Goalkeeper,1
Centre-Forward,0
Goalkeeper,1
Left Winger,0
Centre-Forward,0
Centre-Back,0
Centre-Back,0
Left Winger,0
Centre-Back,0
Right-Back,0
Centre-Back,0
Defensive Midfield,0
Centre-Back,0
Right-Back,0
Right Winger,0
Centre-Forward,0
Right-Back,0
Centre-Forward,0
Right Winger,0
Left-Back,0
Centre-Back,0
Right Winger,0
Centre-Back,0
Centre-Forward,0
Attacking Midfield,1
Goalkeeper,1
Goalkeeper,1
Centre-Back,0
Central Midfield,0
Left Winger,0
Defensive Midfield,0
Left Winger,0
Goalkeeper,1
Centre-Forward,0
Left Winger,0
Left Winger,0
Left Midfield,0
Goalkeeper,1
Left-Back,0
Centre-Back,0
Centre-Forward,0
Goalkeeper,1
Left-Back,0
Right-Back,0
Central Midfield,0
Goalkeeper,1
Centre-Forward,0
Goalkeeper,1
Central Midfield,0
Defensive Midfield,0
midfield,0
Left Midfield,0
Right-Back,0
Centre-Forward,0
Right Winger,0
Right-Back,0
Second Striker,0
Left Midfield,0
Right-Back,0
Defensive Midfield,0
Centre-Forward,0
Goalkeeper,1
Defensive Midfield,0
Centre-Forward,0
Left-Back,0
Central Midfield,0
Centre-Forward,0
Centre-Back,0
Centre-Back,0
Defensive Midfield,0
Centre-Forward,0
Attacking Midfield,1
Right-Back,0
Defensive Midfield,0
Centre-Back,0
Right Winger,0
Central Midfield,0
Centre-Forward,0
Central Midfield,0
Centre-Forward,0
Centre-Forward,0
Right-Back,0
Left-Back,0
Centre-Forward,0
Right Winger,0
Centre-Back,0
Central Midfield,0
Right-Back,0
Left Winger,0
Right Winger,0
Goalkeeper,1
Centre-Forward,0
Goalkeeper,1
Right Winger,0
Left Winger,0
Right Midfield,0
Left Winger,0
Centre-Back,0
Right Winger,0
Attacking Midfield,1
Right Winger,0
Right Winger,0
Central Midfield,0
Left-Back,0
Centre-Forward,0
Centre-Forward,0
midfield,0
Centre-Forward,0
Goalkeeper,1
Defensive Midfield,0
midfield,0
midfield,0
Centre-Back,0
Left-Back,0
Goalkeeper,1
Right-Back,0
Centre-Forward,0
Right-Back,0
Centre-Back,0
Attacking Midfield,1
Left-Back,0
Attacking Midfield,1
Central Midfield,0
Left Midfield,0
Central Midfield,0
Central Midfield,0
Defensive Midfield,0
Central Midfield,0
Left Winger,0
Right Winger,0
Left Winger,0
Attacking Midfield,1
Centre-Forward,0
Right Winger,0
Left Midfield,0
Attacking Midfield,1
Attacking Midfield,1
midfield,0
Centre-Back,0
Centre-Back,0
Right-Back,0
Left Winger,0
Central Midfield,0
defence,0
defence,0
Defensive Midfield,0
Central Midfield,0
midfield,0
Defensive Midfield,0
midfield,0
midfield,0
Centre-Forward,0
Attacking Midfield,1
Left Midfield,0
Defensive Midfield,0
Central Midfield,0
Centre-Forward,0
Centre-Forward,0
Centre-Back,0
Goalkeeper,1
Central Midfield,0
Left Winger,0
Right-Back,0
Centre-Back,0
Attacking Midfield,1
Left Winger,0
Centre-Back,0
Left Winger,0
Centre-Forward,0
Centre-Forward,0
Defensive Midfield,0
Left-Back,0
Left Winger,0
Right-Back,0
Right Winger,0
Centre-Forward,0
Left-Back,0
Central Midfield,0
Defensive Midfield,0
Central Midfield,0
Left Winger,0
Right-Back,0
midfield,0
Centre-Forward,0
Goalkeeper,1
Defensive Midfield,0
Goalkeeper,1
Right Winger,0
Left-Back,0
Goalkeeper,1
Centre-Forward,0
Left Winger,0
Left-Back,0
Right-Back,0
Left Winger,0
Left-Back,0
Defensive Midfield,0
Right-Back,0
Left Winger,0
Left-Back,0
Right-Back,0
Centre-Forward,0
Central Midfield,0
Goalkeeper,1
midfield,0
Right-Back,0
Left Winger,0
Right-Back,0
Centre-Back,0
Attacking Midfield,1
Central Midfield,0
Goalkeeper,1
Goalkeeper,1
Left Winger,0
Attacking Midfield,1
Centre-Forward,0
Central Midfield,0
Right-Back,0
Centre-Back,0
Centre-Forward,0
Attacking Midfield,1
Left Midfield,0
Centre-Back,0
Right Winger,0
Central Midfield,0
Defensive Midfield,0
Right Midfield,0
Attacking Midfield,1
Defensive Midfield,0
Right-Back,0
Central Midfield,0
Central Midfield,0
Centre-Forward,0
Right Winger,0
Goalkeeper,1
Goalkeeper,1
Left Winger,0
Centre-Forward,0
Right-Back,0
Centre-Back,0
Second Striker,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Goalkeeper,1
Defensive Midfield,0
defence,0
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Left Winger,0
Right Winger,0
Centre-Back,0
Left Winger,0
Central Midfield,0
Left Winger,0
Centre-Forward,0
Centre-Forward,0
Right Winger,0
midfield,0
Goalkeeper,1
Right-Back,0
Left-Back,0
Right Winger,0
Attacking Midfield,1
Right Winger,0
Centre-Back,0
Centre-Back,0
midfield,0
Right Winger,0
Second Striker,0
Centre-Forward,0
Centre-Forward,0
Attacking Midfield,1
Left-Back,0
Left-Back,0
Central Midfield,0
Centre-Back,0
Left Winger,0
Centre-Forward,0
Centre-Forward,0
Attacking Midfield,1
Central Midfield,0
Centre-Forward,0
Left Winger,0
Centre-Forward,0
Left-Back,0
Central Midfield,0
attack,0
Centre-Forward,0
Centre-Forward,0
Goalkeeper,1
Attacking Midfield,1
Left-Back,0
Centre-Forward,0
Right-Back,0
Left Winger,0
Right Winger,0
Defensive Midfield,0
Defensive Midfield,0
Attacking Midfield,1
Right Winger,0
Centre-Forward,0
Left-Back,0
Left-Back,0
Right-Back,0
Defensive Midfield,0
Attacking Midfield,1
Goalkeeper,1
Right Winger,0
defence,0
Left Winger,0
Centre-Back,0
Right Winger,0
Right-Back,0
Left Winger,0
Goalkeeper,1
Central Midfield,0
Goalkeeper,1
Goalkeeper,1
Left Winger,0
Centre-Back,0
Right-Back,0
Left Winger,0
Central Midfield,0
Centre-Forward,0
Central Midfield,0
Defensive Midfield,0
Centre-Forward,0
Left Winger,0
Central Midfield,0
Centre-Forward,0
Central Midfield,0
Right-Back,0
Right-Back,0
Central Midfield,0
Defensive Midfield,0
Centre-Forward,0
Defensive Midfield,0
Centre-Forward,0
Right-Back,0
Right Winger,0
Right-Back,0
Defensive Midfield,0
Left Winger,0
Attacking Midfield,1
Centre-Forward,0
Centre-Back,0
Attacking Midfield,1
Central Midfield,0
Second Striker,0
Centre-Forward,0
Central Midfield,0
Defensive Midfield,0
Centre-Back,0
Defensive Midfield,0
Defensive Midfield,0
Centre-Back,0
Left Winger,0
attack,0
Right-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Central Midfield,0
Central Midfield,0
Left Winger,0
Centre-Forward,0
Goalkeeper,1
Centre-Back,0
Goalkeeper,1
Centre-Back,0
Centre-Forward,0
Defensive Midfield,0
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Left Midfield,0
Attacking Midfield,1
Defensive Midfield,0
Centre-Forward,0
Left Midfield,0
Right Winger,0
Centre-Forward,0
Centre-Forward,0
Goalkeeper,1
Left Winger,0
Centre-Back,0
Left-Back,0
Goalkeeper,1
Central Midfield,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Central Midfield,0
Right Winger,0
Attacking Midfield,1
Right-Back,0
Centre-Back,0
Central Midfield,0
Defensive Midfield,0
Right-Back,0
Centre-Forward,0
Centre-Back,0
Right-Back,0
Centre-Back,0
Right Midfield,0
Goalkeeper,1
Central Midfield,0
Defensive Midfield,0
Goalkeeper,1
Centre-Back,0
Centre-Back,0
Centre-Back,0
Goalkeeper,1
Goalkeeper,1
Central Midfield,0
Centre-Back,0
Goalkeeper,1
Centre-Forward,0
Centre-Back,0
Central Midfield,0
Centre-Back,0
Centre-Forward,0
Defensive Midfield,0
Centre-Back,0
Centre-Back,0
Defensive Midfield,0
Defensive Midfield,0
Right-Back,0
Centre-Forward,0
Attacking Midfield,1
Defensive Midfield,0
Defensive Midfield,0
Centre-Back,0
Attacking Midfield,1
Goalkeeper,1
Central Midfield,0
Left-Back,0
Attacking Midfield,1
Right Winger,0
Left-Back,0
Defensive Midfield,0
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Goalkeeper,1
Right Winger,0
Right Winger,0
Centre-Back,0
Central Midfield,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Left Winger,0
Right-Back,0
Right Winger,0
Goalkeeper,1
Goalkeeper,1
Centre-Forward,0
Second Striker,0
Right-Back,0
Right-Back,0
Goalkeeper,1
Second Striker,0
Right-Back,0
Centre-Forward,0
Right Winger,0
Goalkeeper,1
Attacking Midfield,1
Centre-Back,0
Attacking Midfield,1
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Central Midfield,0
Centre-Forward,0
Goalkeeper,1
Centre-Forward,0
Centre-Forward,0
Goalkeeper,1
Attacking Midfield,1
Right-Back,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Right Midfield,0
Centre-Back,0
Central Midfield,0
Right-Back,0
Attacking Midfield,1
Right Midfield,0
Centre-Back,0
Goalkeeper,1
Centre-Forward,0
Left Winger,0
Second Striker,0
Attacking Midfield,1
Goalkeeper,1
Central Midfield,0
Central Midfield,0
Right Winger,0
Right-Back,0
Right-Back,0
Central Midfield,0
Centre-Back,0
Right-Back,0
Centre-Forward,0
Left Midfield,0
Central Midfield,0
Centre-Forward,0
Central Midfield,0
Centre-Forward,0
Goalkeeper,1
Right Winger,0
Goalkeeper,1
Attacking Midfield,1
defence,0
Right-Back,0
Centre-Back,0
Central Midfield,0
Goalkeeper,1
Left Winger,0
Left Winger,0
Goalkeeper,1
Centre-Back,0
Goalkeeper,1
Central Midfield,0
Defensive Midfield,0
Centre-Forward,0
Central Midfield,0
Centre-Back,0
Centre-Forward,0
Goalkeeper,1
Centre-Back,0
Centre-Forward,0
Goalkeeper,1
Central Midfield,0
Right-Back,0
Right-Back,0
Centre-Forward,0
midfield,0
Centre-Back,0
Defensive Midfield,0
Left Midfield,0
Central Midfield,0
Centre-Forward,0
Goalkeeper,1
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Central Midfield,0
Central Midfield,0
Left Winger,0
midfield,0
Second Striker,0
Centre-Forward,0
Centre-Back,0
Central Midfield,0
Centre-Back,0
Centre-Back,0
Right Midfield,0
Goalkeeper,1
Centre-Back,0
Defensive Midfield,0
Central Midfield,0
Right Winger,0
Central Midfield,0
Centre-Back,0
Central Midfield,0
Attacking Midfield,1
Goalkeeper,1
Centre-Back,0
Attacking Midfield,1
Goalkeeper,1
Left Midfield,0
Goalkeeper,1
Attacking Midfield,1
Centre-Forward,0
Goalkeeper,1
Centre-Back,0
Right-Back,0
Left Winger,0
defence,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Goalkeeper,1
Central Midfield,0
Attacking Midfield,1
Centre-Back,0
Centre-Back,0
Right Midfield,0
Defensive Midfield,0
Goalkeeper,1
Centre-Back,0
Right-Back,0
Goalkeeper,1
Centre-Back,0
Left Winger,0
Right-Back,0
Centre-Forward,0
Central Midfield,0
Centre-Back,0
Right Winger,0
Centre-Back,0
Centre-Forward,0
Right Winger,0
Centre-Back,0
Goalkeeper,1
Left-Back,0
Left Winger,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
Left-Back,0
Centre-Back,0
Central Midfield,0
Centre-Back,0
Goalkeeper,1
Right-Back,0
Centre-Forward,0
Right Winger,0
Attacking Midfield,1
Centre-Forward,0
Centre-Back,0
Attacking Midfield,1
Centre-Back,0
Right Winger,0
Centre-Forward,0
Second Striker,0
Centre-Back,0
Right Midfield,0
Right-Back,0
Centre-Back,0
Centre-Forward,0
Left-Back,0
Centre-Forward,0
Left Winger,0
Centre-Forward,0
Right Winger,0
Central Midfield,0
Right Winger,0
Left Winger,0
Right Winger,0
Centre-Forward,0
Centre-Forward,0
Left Winger,0
Left Winger,0
Attacking Midfield,1
Left-Back,0
midfield,0
Centre-Forward,0
Centre-Back,0
Left-Back,0
Goalkeeper,1
Central Midfield,0
Centre-Forward,0
Right-Back,0
Left-Back,0
Left Midfield,0
Central Midfield,0
Right Winger,0
Defensive Midfield,0
Goalkeeper,1
Left-Back,0
Right-Back,0
Right-Back,0
Left Winger,0
midfield,0
Centre-Forward,0
Centre-Forward,0
Central Midfield,0
Attacking Midfield,1
Centre-Back,0
Defensive Midfield,0
Central Midfield,0
Left Winger,0
Left Winger,0
Attacking Midfield,1
Central Midfield,0
Centre-Forward,0
Left-Back,0
Right-Back,0
Left-Back,0
Left-Back,0
Central Midfield,0
Attacking Midfield,1
Centre-Back,0
Goalkeeper,1
Centre-Back,0
midfield,0
Goalkeeper,1
defence,0
Centre-Forward,0
midfield,0
Left Winger,0
attack,0
Left-Back,0
midfield,0
Left Winger,0
Centre-Back,0
Left Winger,0
Attacking Midfield,1
Central Midfield,0
Right-Back,0
Centre-Forward,0
Central Midfield,0
Centre-Back,0
Right Winger,0
Right Midfield,0
Right-Back,0
Centre-Forward,0
Right-Back,0
Goalkeeper,1
Left-Back,0
Right Winger,0
Right-Back,0
Centre-Back,0
Centre-Forward,0
Right Winger,0
Centre-Forward,0
Attacking Midfield,1
Defensive Midfield,0
Centre-Back,0
Goalkeeper,1
Central Midfield,0
Goalkeeper,1
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Left-Back,0
Right Winger,0
Left Winger,0
attack,0
midfield,0
Defensive Midfield,0
Left Midfield,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Right-Back,0
Centre-Forward,0
Right-Back,0
Central Midfield,0
Defensive Midfield,0
Central Midfield,0
Centre-Back,0
Left-Back,0
Left Winger,0
Attacking Midfield,1
Central Midfield,0
Centre-Forward,0
Second Striker,0
Attacking Midfield,1
Centre-Forward,0
Left Winger,0
Right-Back,0
Left Winger,0
Centre-Back,0
Centre-Back,0
Goalkeeper,1
Right-Back,0
Centre-Back,0
Right Winger,0
Attacking Midfield,1
Attacking Midfield,1
Central Midfield,0
Goalkeeper,1
Central Midfield,0
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Right-Back,0
Right Winger,0
Left-Back,0
Left-Back,0
Centre-Forward,0
Right-Back,0
midfield,0
Second Striker,0
Centre-Back,0
Central Midfield,0
Second Striker,0
Centre-Forward,0
Centre-Back,0
Centre-Back,0
Left Winger,0
Centre-Forward,0
Centre-Forward,0
Centre-Forward,0
Centre-Forward,0
Attacking Midfield,1
Left-Back,0
Centre-Back,0
Centre-Back,0
Right Midfield,0
Centre-Back,0
Central Midfield,0
Left-Back,0
Right Winger,0
Right Winger,0
Centre-Back,0
Attacking Midfield,1
Central Midfield,0
Centre-Back,0
Attacking Midfield,1
Right-Back,0
Centre-Back,0
Centre-Back,0
midfield,0
Right Winger,0
Right-Back,0
Centre-Forward,0
Defensive Midfield,0
Right-Back,0
Left Winger,0
Central Midfield,0
Centre-Forward,0
Centre-Forward,0
Right Midfield,0
Right-Back,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Centre-Forward,0
Right-Back,0
Defensive Midfield,0
Goalkeeper,1
Central Midfield,0
Right Midfield,0
Centre-Forward,0
Right Winger,0
Centre-Back,0
Left Winger,0
Centre-Forward,0
Centre-Back,0
Goalkeeper,1
Centre-Back,0
Right-Back,0
Defensive Midfield,0
Central Midfield,0
midfield,0
Right-Back,0
Attacking Midfield,1
Right-Back,0
Centre-Back,0
midfield,0
Central Midfield,0
Left-Back,0
Right Winger,0
Right Winger,0
Right Winger,0
Attacking Midfield,1
Right Midfield,0
Right-Back,0
Centre-Back,0
Left Midfield,0
Central Midfield,0
Defensive Midfield,0
Centre-Forward,0
Central Midfield,0
Right-Back,0
Defensive Midfield,0
Right-Back,0
Right-Back,0
Right-Back,0
Centre-Back,0
Centre-Back,0
Right Midfield,0
Goalkeeper,1
Goalkeeper,1
Goalkeeper,1
Left-Back,0
Defensive Midfield,0
Centre-Forward,0
Central Midfield,0
Central Midfield,0
Goalkeeper,1
Centre-Forward,0
Central Midfield,0
Central Midfield,0
Goalkeeper,1
Centre-Back,0
Goalkeeper,1
Centre-Forward,0
Left-Back,0
Centre-Back,0
Left-Back,0
Centre-Back,0
Goalkeeper,1
Left-Back,0
Central Midfield,0
Centre-Back,0
Centre-Back,0
Goalkeeper,1
Defensive Midfield,0
Centre-Forward,0
Centre-Back,0
Centre-Forward,0
defence,0
Left-Back,0
Goalkeeper,1
Left-Back,0
Goalkeeper,1
Right Winger,0
Centre-Back,0
Left Winger,0
Defensive Midfield,0
Central Midfield,0
Left-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Forward,0
attack,0
Right-Back,0
Centre-Back,0
Centre-Back,0
Centre-Back,0
Centre-Forward,0
Centre-Back,0
Left-Back,0
Right-Back,0
Left-Back,0
Defensive Midfield,0
Attacking Midfield,1
Goalkeeper,1
Left-Back,0
Left Winger,0
Centre-Forward,0
Goalkeeper,1
Defensive Midfield,0
Centre-Forward,0
Left Winger,0
Centre-Back,0
Left-Back,0
Centre-Forward,0
Central Midfield,0
Central Midfield,0
Right-Back,0
Goalkeeper,1
Left-Back,0
Central Midfield,0
Goalkeeper,1
Left Winger,0
Left-Back,0
defence,0
defence,0
Attacking Midfield,1
Left Winger,0
Right Winger,0
Right Winger,0
Central Midfield,0
Right-Back,0
Left Winger,0
attack,0
Defensive Midfield,0
Central Midfield,0
Left-Back,0
Central Midfield,0
Central Midfield,0
Centre-Back,0
Left Winger,0
Centre-Forward,0
Central Midfield,0
Attacking Midfield,1
Centre-Back,0
Goalkeeper,1
Right-Back,0
Centre-Forward,0
Left Winger,0
Centre-Back,0
Defensive Midfield,0
Left Winger,0
Centre-Forward,0
Centre-Back,0
Right-Back,0
Left-Back,0
Goalkeeper,1
Centre-Forward,0
Centre-Forward,0
Centre-Back,0
Attacking Midfield,1
Left-Back,0
Defensive Midfield,0
Left-Back,0
Centre-Back,0
Left-Back,0
Left Midfield,0
Right Winger,0
Central Midfield,0
Centre-Back,0
Centre-Back,0
Central Midfield,0
Central Midfield,0
Centre-Forward,0
Centre-Forward,0
Centre-Back,0
Right Winger,0
Defensive Midfield,0
Centre-Back,0
Centre-Back,0
